escena_numero;escena_locacion;momento;intencion_dramatica;ritmo;plano_numero;tipo_plano;descripcion_plano;accion_principal;camara_movimiento;sonido_transicion;elementos_necesarios;notas_produccion
2;EXT. ISLA TIERRA DEL FUEGO;DIA;Avanzar la relación entre personajes y preparar la siguiente variación emocional del viaje.;Ritmo medio: alternar establecimiento, acción y reacción para sostener claridad narrativa.;2.03;Plano narrativo;Planos detalle de objetos rituales, pinturas, fuego, huellas o animales como signos dramáticos.;Planos detalle de objetos rituales, pinturas, fuego, huellas o animales como signos dramáticos.;Cámara funcional al eje dramático;Ambiente natural patagónico: viento, aves, pasos, respiración y silencios expresivos.;"Fogata/fuego FX; Viento FX; Pinturas tari";"Previsualizar en storyboard/animatic; ajustar duración según acting y montaje."
2;EXT. ISLA TIERRA DEL FUEGO;DIA;Avanzar la relación entre personajes y preparar la siguiente variación emocional del viaje.;Ritmo medio: alternar establecimiento, acción y reacción para sostener claridad narrativa.;2.04;Plano narrativo;Cerrar en reacción emocional o elemento natural que anticipe la escena siguiente.;Cerrar en reacción emocional o elemento natural que anticipe la escena siguiente.;Cámara funcional al eje dramático;Ambiente natural patagónico: viento, aves, pasos, respiración y silencios expresivos.;"Fogata/fuego FX; Viento FX";"Previsualizar en storyboard/animatic; ajustar duración según acting y montaje."
3;EXT. PASTIZALES / ISLA TIERRA DEL FUEGO;DÍA;Mostrar la fractura interna de Uky: no puede matar, pero aún desea pertenecer.;Ritmo alto: cortes breves, cámara móvil, respiración y percusión marcadas.;3.01;PG / Plano general;PG bajo entre pastizales: cazadores ocultos, niebla y respiración contenida.;cazadores ocultos, niebla y respiración contenida.;Cámara funcional al eje dramático;Diseño solar: resonancias cálidas, bronce/percusión baja, brillo creciente.;"Fogata/fuego FX; Sol/luz cálida";"Previsualizar en storyboard/animatic; ajustar duración según acting y montaje."
3;EXT. PASTIZALES / ISLA TIERRA DEL FUEGO;DÍA;Mostrar la fractura interna de Uky: no puede matar, pero aún desea pertenecer.;Ritmo alto: cortes breves, cámara móvil, respiración y percusión marcadas.;3.02;POV / Subjetiva;POV de Uky: arco tembloroso, guanaco entra y sale de foco.;arco tembloroso, guanaco entra y sale de foco.;POV;Diseño solar: resonancias cálidas, bronce/percusión baja, brillo creciente.;"Fogata/fuego FX; Sol/luz cálida; Guanaco; Uky; Arcos/flechas";"Previsualizar en storyboard/animatic; ajustar duración según acting y montaje."
3;EXT. PASTIZALES / ISLA TIERRA DEL FUEGO;DÍA;Mostrar la fractura interna de Uky: no puede matar, pero aún desea pertenecer.;Ritmo alto: cortes breves, cámara móvil, respiración y percusión marcadas.;3.03;Plano narrativo;Corte paralelo: Yamko confiado / Seriot impaciente / Uky paralizado.;Yamko confiado / Seriot impaciente / Uky paralizado.;Corte paralelo;Diseño solar: resonancias cálidas, bronce/percusión baja, brillo creciente.;"Fogata/fuego FX; Sol/luz cálida; Uky; Yamko; Seriot";"Previsualizar en storyboard/animatic; ajustar duración según acting y montaje."
3;EXT. PASTIZALES / ISLA TIERRA DEL FUEGO;DÍA;Mostrar la fractura interna de Uky: no puede matar, pero aún desea pertenecer.;Ritmo alto: cortes breves, cámara móvil, respiración y percusión marcadas.;3.04;Cámara lenta;"Cámara lenta breve cuando el guanaco pasa junto a Uky; sonido se apaga salvo latido.";"Cámara lenta breve cuando el guanaco pasa junto a Uky; sonido se apaga salvo latido.";Cámara lenta;Diseño solar: resonancias cálidas, bronce/percusión baja, brillo creciente.;"Fogata/fuego FX; Sol/luz cálida; Guanaco; Uky; Mar/agua FX";"Previsualizar en storyboard/animatic; ajustar duración según acting y montaje."
3;EXT. PASTIZALES / ISLA TIERRA DEL FUEGO;DÍA;Mostrar la fractura interna de Uky: no puede matar, pero aún desea pertenecer.;Ritmo alto: cortes breves, cámara móvil, respiración y percusión marcadas.;3.05;Plano narrativo;"Plano fijo de Uky embarrado mientras la cacería se aleja; aislamiento dramático.";"Plano fijo de Uky embarrado mientras la cacería se aleja; aislamiento dramático.";Plano fijo;Diseño solar: resonancias cálidas, bronce/percusión baja, brillo creciente.;"Fogata/fuego FX; Sol/luz cálida; Uky";"Previsualizar en storyboard/animatic; ajustar duración según acting y montaje."
4;EXT. PASTIZALES / ISLA TIERRA DEL FUEGO;DÍA;"Convertir la torpeza creativa de Uky en accidente detonante; comedia física con culpa al final.";Ritmo alto: cortes breves, cámara móvil, respiración y percusión marcadas.;4.01;PG / Plano general;"PG con pompones blancos en la distancia; lectura ambigua para Uky y Tah.";"PG con pompones blancos en la distancia; lectura ambigua para Uky y Tah.";Cámara funcional al eje dramático;Ambiente natural patagónico: viento, aves, pasos, respiración y silencios expresivos.;"Fogata/fuego FX; Viento FX; Tah / cururo; Uky";"Previsualizar en storyboard/animatic; ajustar duración según acting y montaje."
4;EXT. PASTIZALES / ISLA TIERRA DEL FUEGO;DÍA;"Convertir la torpeza creativa de Uky en accidente detonante; comedia física con culpa al final.";Ritmo alto: cortes breves, cámara móvil, respiración y percusión marcadas.;4.02;Plano narrativo;Planos detalle de lana, dedos con pintura y caras absurdas en ovejas.;Planos detalle de lana, dedos con pintura y caras absurdas en ovejas.;Cámara funcional al eje dramático;Ambiente natural patagónico: viento, aves, pasos, respiración y silencios expresivos.;"Fogata/fuego FX; Viento FX; Ovejas; Pinturas tari";"Previsualizar en storyboard/animatic; ajustar duración según acting y montaje."
4;EXT. PASTIZALES / ISLA TIERRA DEL FUEGO;DÍA;"Convertir la torpeza creativa de Uky en accidente detonante; comedia física con culpa al final.";Ritmo alto: cortes breves, cámara móvil, respiración y percusión marcadas.;4.03;Plano narrativo;Ritmo de gag: PP de oveja despertando / PP de Uky / grito espejo.;PP de oveja despertando / PP de Uky / grito espejo.;Cámara funcional al eje dramático;Ambiente natural patagónico: viento, aves, pasos, respiración y silencios expresivos.;"Fogata/fuego FX; Viento FX; Ovejas; Uky";"Previsualizar en storyboard/animatic; ajustar duración según acting y montaje."
4;EXT. PASTIZALES / ISLA TIERRA DEL FUEGO;DÍA;"Convertir la torpeza creativa de Uky en accidente detonante; comedia física con culpa al final.";Ritmo alto: cortes breves, cámara móvil, respiración y percusión marcadas.;4.04;Travelling;"Travelling caótico de estampida; cámara acompaña a Uky sobre la oveja.";"Travelling caótico de estampida; cámara acompaña a Uky sobre la oveja.";Travelling;Ambiente natural patagónico: viento, aves, pasos, respiración y silencios expresivos.;"Fogata/fuego FX; Viento FX; Ovejas; Uky; Mar/agua FX";"Previsualizar en storyboard/animatic; ajustar duración según acting y montaje."
4;EXT. PASTIZALES / ISLA TIERRA DEL FUEGO;DÍA;"Convertir la torpeza creativa de Uky en accidente detonante; comedia física con culpa al final.";Ritmo alto: cortes breves, cámara móvil, respiración y percusión marcadas.;4.05;Plano narrativo;"Plano seco final de la oveja muerta; cortar la música y dejar culpa en silencio.";"Plano seco final de la oveja muerta; cortar la música y dejar culpa en silencio.";Cámara funcional al eje dramático;Ambiente natural patagónico: viento, aves, pasos, respiración y silencios expresivos.;"Fogata/fuego FX; Viento FX; Ovejas";"Previsualizar en storyboard/animatic; ajustar duración según acting y montaje."
5;EXT. MONTAÑAS TIERRA DEL FUEGO LOLA;DÍA;Avanzar la relación entre personajes y preparar la siguiente variación emocional del viaje.;Ritmo contenido: planos más largos, pausas, respiración y foco en mirada/reacción.;5.01;PG / Plano general;"PG de montaña nevada con figura mínima de Lola; viento domina la escala.";"PG de montaña nevada con figura mínima de Lola; viento domina la escala.";Cámara funcional al eje dramático;"Viento como voz espiritual y guía; usarlo para transiciones.";"Fogata/fuego FX; Viento FX; Lola; Montaña/roqueríos";"Previsualizar en storyboard/animatic; ajustar duración según acting y montaje."
5;EXT. MONTAÑAS TIERRA DEL FUEGO LOLA;DÍA;Avanzar la relación entre personajes y preparar la siguiente variación emocional del viaje.;Ritmo contenido: planos más largos, pausas, respiración y foco en mirada/reacción.;5.02;PD / Plano detalle;"Plano detalle de huellas perdiéndose; respiración débil.";"Plano detalle de huellas perdiéndose; respiración débil.";Cámara funcional al eje dramático;"Viento como voz espiritual y guía; usarlo para transiciones.";"Fogata/fuego FX; Viento FX; Lola; Montaña/roqueríos";"Previsualizar en storyboard/animatic; ajustar duración según acting y montaje."
5;EXT. MONTAÑAS TIERRA DEL FUEGO LOLA;DÍA;Avanzar la relación entre personajes y preparar la siguiente variación emocional del viaje.;Ritmo contenido: planos más largos, pausas, respiración y foco en mirada/reacción.;5.03;PP / Primer plano;"PP de ojos de Lola cerrándose; caída a rodillas en cámara lenta mínima.";"PP de ojos de Lola cerrándose; caída a rodillas en cámara lenta mínima.";Cámara lenta;"Viento como voz espiritual y guía; usarlo para transiciones.";"Fogata/fuego FX; Viento FX; Lola; Montaña/roqueríos; Mar/agua FX";"Previsualizar en storyboard/animatic; ajustar duración según acting y montaje."
5;EXT. MONTAÑAS TIERRA DEL FUEGO LOLA;DÍA;Avanzar la relación entre personajes y preparar la siguiente variación emocional del viaje.;Ritmo contenido: planos más largos, pausas, respiración y foco en mirada/reacción.;5.04;Plano narrativo;Corte a humo lejano del haruwen: esperanza visual sin resolver.;esperanza visual sin resolver.;Cámara funcional al eje dramático;"Viento como voz espiritual y guía; usarlo para transiciones.";"Fogata/fuego FX; Humo/ceniza; Sol/luz cálida; Viento FX; Lola; Haruwen/chozas; Montaña/roqueríos";"Previsualizar en storyboard/animatic; ajustar duración según acting y montaje."
6;EXT. ISLA TIERRA DEL FUEGO;DÍA;Cierre luminoso: comunidad en movimiento, cambio de liderazgo y equilibrio restaurado.;Ritmo alto: cortes breves, cámara móvil, respiración y percusión marcadas.;6.01;Montaje;Montaje de planos generales del paisaje, huellas y desplazamiento del grupo.;Montaje de planos generales del paisaje, huellas y desplazamiento del grupo.;Cámara funcional al eje dramático;"Viento como voz espiritual y guía; usarlo para transiciones. Música diegética integrada a acción; percusión orgánica y respiración.";"Fogata/fuego FX; Viento FX";"Previsualizar en storyboard/animatic; ajustar duración según acting y montaje."
6;EXT. ISLA TIERRA DEL FUEGO;DÍA;Cierre luminoso: comunidad en movimiento, cambio de liderazgo y equilibrio restaurado.;Ritmo alto: cortes breves, cámara móvil, respiración y percusión marcadas.;6.02;Plano narrativo;Planos detalle de pies, manos, comida, pintura y viento para textura física.;Planos detalle de pies, manos, comida, pintura y viento para textura física.;Cámara funcional al eje dramático;"Viento como voz espiritual y guía; usarlo para transiciones. Música diegética integrada a acción; percusión orgánica y respiración.";"Fogata/fuego FX; Viento FX; Pinturas tari";"Previsualizar en storyboard/animatic; ajustar duración según acting y montaje."
6;EXT. ISLA TIERRA DEL FUEGO;DÍA;Cierre luminoso: comunidad en movimiento, cambio de liderazgo y equilibrio restaurado.;Ritmo alto: cortes breves, cámara móvil, respiración y percusión marcadas.;6.03;Plano narrativo;Planos medios de interacción cómica o afectiva para sostener vínculo.;Planos medios de interacción cómica o afectiva para sostener vínculo.;Cámara funcional al eje dramático;"Viento como voz espiritual y guía; usarlo para transiciones. Música diegética integrada a acción; percusión orgánica y respiración.";"Fogata/fuego FX; Viento FX";"Previsualizar en storyboard/animatic; ajustar duración según acting y montaje."
6;EXT. ISLA TIERRA DEL FUEGO;DÍA;Cierre luminoso: comunidad en movimiento, cambio de liderazgo y equilibrio restaurado.;Ritmo alto: cortes breves, cámara móvil, respiración y percusión marcadas.;6.04;Plano narrativo;Transiciones por movimiento: paso de cuerpo, ráfaga de viento o barrido de paisaje.;paso de cuerpo, ráfaga de viento o barrido de paisaje.;Barrido;"Viento como voz espiritual y guía; usarlo para transiciones. Música diegética integrada a acción; percusión orgánica y respiración.";"Fogata/fuego FX; Viento FX";"Previsualizar en storyboard/animatic; ajustar duración según acting y montaje."
7;EXT. HARUWEN DEL OESTE;ATARDECER;Mostrar la fractura interna de Uky: no puede matar, pero aún desea pertenecer.;Ritmo alto: cortes breves, cámara móvil, respiración y percusión marcadas.;7.01;PG / Plano general;PG bajo entre pastizales: cazadores ocultos, niebla y respiración contenida.;cazadores ocultos, niebla y respiración contenida.;Cámara funcional al eje dramático;"Fuego presente como pulso: crepita, sube o se apaga según tensión. Disparos secos, sin heroicidad; cortar ambiente después de impactos graves. Diseño solar: resonancias cálidas, bronce/percusión baja, brillo creciente.";"Fogata/fuego FX; Sol/luz cálida; Haruwen/chozas";"Previsualizar en storyboard/animatic; ajustar duración según acting y montaje."
7;EXT. HARUWEN DEL OESTE;ATARDECER;Mostrar la fractura interna de Uky: no puede matar, pero aún desea pertenecer.;Ritmo alto: cortes breves, cámara móvil, respiración y percusión marcadas.;7.02;POV / Subjetiva;POV de Uky: arco tembloroso, guanaco entra y sale de foco.;arco tembloroso, guanaco entra y sale de foco.;POV;"Fuego presente como pulso: crepita, sube o se apaga según tensión. Disparos secos, sin heroicidad; cortar ambiente después de impactos graves. Diseño solar: resonancias cálidas, bronce/percusión baja, brillo creciente.";"Fogata/fuego FX; Sol/luz cálida; Guanaco; Uky; Arcos/flechas; Haruwen/chozas";"Previsualizar en storyboard/animatic; ajustar duración según acting y montaje."
7;EXT. HARUWEN DEL OESTE;ATARDECER;Mostrar la fractura interna de Uky: no puede matar, pero aún desea pertenecer.;Ritmo alto: cortes breves, cámara móvil, respiración y percusión marcadas.;7.03;Plano narrativo;Corte paralelo: Yamko confiado / Seriot impaciente / Uky paralizado.;Yamko confiado / Seriot impaciente / Uky paralizado.;Corte paralelo;"Fuego presente como pulso: crepita, sube o se apaga según tensión. Disparos secos, sin heroicidad; cortar ambiente después de impactos graves. Diseño solar: resonancias cálidas, bronce/percusión baja, brillo creciente.";"Fogata/fuego FX; Sol/luz cálida; Uky; Yamko; Seriot; Haruwen/chozas";"Previsualizar en storyboard/animatic; ajustar duración según acting y montaje."
7;EXT. HARUWEN DEL OESTE;ATARDECER;Mostrar la fractura interna de Uky: no puede matar, pero aún desea pertenecer.;Ritmo alto: cortes breves, cámara móvil, respiración y percusión marcadas.;7.04;Cámara lenta;"Cámara lenta breve cuando el guanaco pasa junto a Uky; sonido se apaga salvo latido.";"Cámara lenta breve cuando el guanaco pasa junto a Uky; sonido se apaga salvo latido.";Cámara lenta;"Fuego presente como pulso: crepita, sube o se apaga según tensión. Disparos secos, sin heroicidad; cortar ambiente después de impactos graves. Diseño solar: resonancias cálidas, bronce/percusión baja, brillo creciente.";"Fogata/fuego FX; Sol/luz cálida; Guanaco; Uky; Haruwen/chozas; Mar/agua FX";"Previsualizar en storyboard/animatic; ajustar duración según acting y montaje."
7;EXT. HARUWEN DEL OESTE;ATARDECER;Mostrar la fractura interna de Uky: no puede matar, pero aún desea pertenecer.;Ritmo alto: cortes breves, cámara móvil, respiración y percusión marcadas.;7.05;Plano narrativo;"Plano fijo de Uky embarrado mientras la cacería se aleja; aislamiento dramático.";"Plano fijo de Uky embarrado mientras la cacería se aleja; aislamiento dramático.";Plano fijo;"Fuego presente como pulso: crepita, sube o se apaga según tensión. Disparos secos, sin heroicidad; cortar ambiente después de impactos graves. Diseño solar: resonancias cálidas, bronce/percusión baja, brillo creciente.";"Fogata/fuego FX; Sol/luz cálida; Uky; Haruwen/chozas";"Previsualizar en storyboard/animatic; ajustar duración según acting y montaje."
8;EXT. ESTANCIA DESPEDIDA;DÍA;Introducir la amenaza colonial desde la caricatura grotesca hacia la violencia real.;Ritmo medio: alternar establecimiento, acción y reacción para sostener claridad narrativa.;8.01;Plano narrativo;Plano de presentación grotesca: composición simétrica de estancia/oficina como territorio de control.;composición simétrica de estancia/oficina como territorio de control.;Cámara funcional al eje dramático;Ladridos y respiración animal en primer plano para amenaza cercana.;Estancia Despedida;"Previsualizar en storyboard/animatic; ajustar duración según acting y montaje."
8;EXT. ESTANCIA DESPEDIDA;DÍA;Introducir la amenaza colonial desde la caricatura grotesca hacia la violencia real.;Ritmo medio: alternar establecimiento, acción y reacción para sostener claridad narrativa.;8.02;PP / Primer plano;PP de comida, grasa, armas y trofeos para asociar apetito con violencia.;PP de comida, grasa, armas y trofeos para asociar apetito con violencia.;Cámara funcional al eje dramático;Ladridos y respiración animal en primer plano para amenaza cercana.;"Rifles/armas; Estancia Despedida";"Previsualizar en storyboard/animatic; ajustar duración según acting y montaje."
8;EXT. ESTANCIA DESPEDIDA;DÍA;Introducir la amenaza colonial desde la caricatura grotesca hacia la violencia real.;Ritmo medio: alternar establecimiento, acción y reacción para sostener claridad narrativa.;8.03;Contrapicado;"Contrapicado leve de Maclennan cuando amenaza; Peduzzi en plano más bajo y nervioso.";"Contrapicado leve de Maclennan cuando amenaza; Peduzzi en plano más bajo y nervioso.";Contrapicado, Picado;Ladridos y respiración animal en primer plano para amenaza cercana.;"Peduzzi; Maclennan; Estancia Despedida";"Previsualizar en storyboard/animatic; ajustar duración según acting y montaje."
8;EXT. ESTANCIA DESPEDIDA;DÍA;Introducir la amenaza colonial desde la caricatura grotesca hacia la violencia real.;Ritmo medio: alternar establecimiento, acción y reacción para sostener claridad narrativa.;8.04;Insert;Insert de ovejas pintadas como remate cómico antes de subir la amenaza.;Insert de ovejas pintadas como remate cómico antes de subir la amenaza.;Cámara funcional al eje dramático;Ladridos y respiración animal en primer plano para amenaza cercana.;"Ovejas; Estancia Despedida";"Previsualizar en storyboard/animatic; ajustar duración según acting y montaje."
8;EXT. ESTANCIA DESPEDIDA;DÍA;Introducir la amenaza colonial desde la caricatura grotesca hacia la violencia real.;Ritmo medio: alternar establecimiento, acción y reacción para sostener claridad narrativa.;8.05;Plano narrativo;Corte brusco a chimenea/humo como presagio oscuro.;Corte brusco a chimenea/humo como presagio oscuro.;Cámara funcional al eje dramático;Ladridos y respiración animal en primer plano para amenaza cercana.;"Humo/ceniza; Estancia Despedida";"Previsualizar en storyboard/animatic; ajustar duración según acting y montaje."
9;INT. OFICINA / ESTANCIA DESPEDIDA;DÍA;"Convertir la torpeza creativa de Uky en accidente detonante; comedia física con culpa al final.";Ritmo alto: cortes breves, cámara móvil, respiración y percusión marcadas.;9.01;PG / Plano general;"PG con pompones blancos en la distancia; lectura ambigua para Uky y Tah.";"PG con pompones blancos en la distancia; lectura ambigua para Uky y Tah.";Cámara funcional al eje dramático;Ladridos y respiración animal en primer plano para amenaza cercana.;"Tah / cururo; Uky; Estancia Despedida";"Previsualizar en storyboard/animatic; ajustar duración según acting y montaje."
9;INT. OFICINA / ESTANCIA DESPEDIDA;DÍA;"Convertir la torpeza creativa de Uky en accidente detonante; comedia física con culpa al final.";Ritmo alto: cortes breves, cámara móvil, respiración y percusión marcadas.;9.02;Plano narrativo;Planos detalle de lana, dedos con pintura y caras absurdas en ovejas.;Planos detalle de lana, dedos con pintura y caras absurdas en ovejas.;Cámara funcional al eje dramático;Ladridos y respiración animal en primer plano para amenaza cercana.;"Ovejas; Pinturas tari; Estancia Despedida";"Previsualizar en storyboard/animatic; ajustar duración según acting y montaje."
9;INT. OFICINA / ESTANCIA DESPEDIDA;DÍA;"Convertir la torpeza creativa de Uky en accidente detonante; comedia física con culpa al final.";Ritmo alto: cortes breves, cámara móvil, respiración y percusión marcadas.;9.03;Plano narrativo;Ritmo de gag: PP de oveja despertando / PP de Uky / grito espejo.;PP de oveja despertando / PP de Uky / grito espejo.;Cámara funcional al eje dramático;Ladridos y respiración animal en primer plano para amenaza cercana.;"Ovejas; Uky; Estancia Despedida";"Previsualizar en storyboard/animatic; ajustar duración según acting y montaje."
9;INT. OFICINA / ESTANCIA DESPEDIDA;DÍA;"Convertir la torpeza creativa de Uky en accidente detonante; comedia física con culpa al final.";Ritmo alto: cortes breves, cámara móvil, respiración y percusión marcadas.;9.04;Travelling;"Travelling caótico de estampida; cámara acompaña a Uky sobre la oveja.";"Travelling caótico de estampida; cámara acompaña a Uky sobre la oveja.";Travelling;Ladridos y respiración animal en primer plano para amenaza cercana.;"Ovejas; Uky; Mar/agua FX; Estancia Despedida";"Previsualizar en storyboard/animatic; ajustar duración según acting y montaje."
9;INT. OFICINA / ESTANCIA DESPEDIDA;DÍA;"Convertir la torpeza creativa de Uky en accidente detonante; comedia física con culpa al final.";Ritmo alto: cortes breves, cámara móvil, respiración y percusión marcadas.;9.05;Plano narrativo;"Plano seco final de la oveja muerta; cortar la música y dejar culpa en silencio.";"Plano seco final de la oveja muerta; cortar la música y dejar culpa en silencio.";Cámara funcional al eje dramático;Ladridos y respiración animal en primer plano para amenaza cercana.;"Ovejas; Estancia Despedida";"Previsualizar en storyboard/animatic; ajustar duración según acting y montaje."
